Voter File VANID,Sex,YEARXXScoreSName,DemPartySup2,NatTO,2020:CivSpan,2020:VolProp,TDPPartisan,BRResearchBetoSuppor,BRResearchBetoTurnou,DNCDemPartySupportV1,TO2022,Age,RaceName,PrecinctName
10574,M,28.43,87.43,89.97,36.23,26.0,96.64,84.93,74.46,89.6,87.31,80.0,Hispanic,862.0
10575,M,62.65,90.45,94.83,0.92,58.0,96.72,60.13,77.8,86.54,81.92,58.0,Caucasian,362.0
10576,M,49.72,60.28,95.36,0.03,,58.95,58.0,74.5,65.73,83.15,49.0,Caucasian,362.0
10577,M,17.93,52.67,72.22,27.97,11.0,50.39,41.11,51.42,51.41,66.08,64.0,Hispanic,547.0
10578,F,43.13,68.17,41.94,0.03,,35.47,27.15,11.0,63.08,14.52,50.0,Caucasian,547.0
10579,F,62.65,83.41,99.83,5.86,,97.69,98.26,79.39,89.91,96.06,48.0,Hispanic,906.0
10580,M,43.46,59.54,64.35,17.01,,70.77,65.82,53.04,58.14,58.31,65.0,Hispanic,906.0
10581,M,46.19,54.59,61.37,0.32,,58.52,54.14,66.13,53.67,78.21,57.0,Asian,1054.0
10582,F,55.22,95.12,79.73,0.15,95.0,98.94,97.77,81.72,94.74,78.39,69.0,African-American,331.0
10583,M,55.22,82.66,47.98,0.01,,90.55,89.13,63.5,74.44,67.12,67.0,Caucasian,362.0
10584,F,55.22,84.32,81.68,0.01,,88.04,16.81,32.5,73.37,22.87,39.0,Caucasian,149.0
10585,F,43.46,84.14,15.08,0.15,,59.82,45.32,9.61,79.06,11.79,58.0,Caucasian,362.0
10586,M,43.46,95.98,94.15,0.08,36.0,99.42,98.64,95.0,97.08,93.83,60.0,African-American,362.0
10587,M,61.89,58.82,57.91,0.0,,43.14,55.01,60.86,54.44,67.97,36.0,Vietnamese,862.0
10588,M,52.94,95.73,98.71,0.35,25.0,98.83,85.84,79.9,94.28,88.94,52.0,Middle Eastern,1111.0
10589,F,41.04,89.28,72.39,0.08,87.0,91.98,93.94,75.05,79.59,81.79,59.0,Caucasian,751.0
10590,F,65.48,61.52,88.98,1.48,51.0,43.83,39.31,67.66,52.39,78.85,62.0,Polynesian-Hawaiian,862.0
10591,F,28.43,92.34,99.05,26.03,54.0,98.59,96.63,79.73,94.47,95.15,49.0,Hispanic,1102.0
10592,F,35.94,82.6,51.7,0.04,15.0,84.25,82.35,48.96,80.21,59.28,42.0,African-American,1111.0
10593,M,46.19,82.82,84.59,2.34,34.0,87.07,79.26,68.51,83.53,83.2,35.0,Hispanic,1078.0
10594,M,43.46,87.84,91.58,0.1,86.0,97.19,94.36,68.59,91.01,78.31,44.0,Caucasian,1102.0
10595,F,13.65,72.97,24.74,19.6,40.0,47.05,50.12,36.89,53.48,52.9,37.0,Hispanic,901.0
10596,M,25.77,44.08,42.56,1.73,76.0,24.12,14.96,54.06,51.26,69.23,57.0,Hispanic,639.0
10597,M,70.58,86.6,99.43,0.03,89.0,94.31,97.04,94.6,88.93,96.2,56.0,Middle Eastern,862.0
10598,M,33.7,81.93,46.13,0.04,34.0,90.13,79.62,69.75,83.7,65.35,37.0,,901.0
10599,F,55.22,72.01,92.31,0.78,97.0,79.41,40.53,85.1,74.93,83.63,66.0,Asian-Indian,624.0
10600,M,42.24,74.02,64.6,0.2,32.0,75.86,69.02,63.92,85.32,67.59,44.0,Caucasian,901.0
10601,F,21.24,56.08,28.67,39.58,83.0,63.97,55.81,51.42,79.35,47.2,53.0,Hispanic,803.0
10602,F,43.46,96.19,99.45,0.26,37.0,99.17,96.52,86.49,97.34,90.78,70.0,African-American,1111.0
10603,M,43.46,50.14,33.87,22.34,,31.19,23.91,44.45,59.66,61.85,57.0,Hispanic,751.0
10604,F,35.94,64.46,58.25,0.02,73.0,70.79,90.15,53.37,73.68,67.67,39.0,Caucasian,751.0
10605,F,20.37,92.19,78.43,0.54,14.0,96.83,92.71,79.56,89.91,77.01,83.0,Caucasian,1111.0
10606,M,49.72,82.7,71.3,24.18,,44.28,41.89,41.56,76.0,58.31,53.0,Hispanic,862.0
10607,M,70.26,94.3,98.58,0.09,9.0,98.75,98.98,96.0,93.8,94.88,68.0,African-American,709.0
10608,F,63.5,94.53,85.76,0.16,68.0,98.28,95.51,76.59,93.91,78.27,48.0,African-American,709.0
10609,F,58.47,89.27,87.78,29.2,91.0,91.38,60.55,70.72,84.48,81.53,51.0,Hispanic,1055.0
10610,M,33.7,64.02,27.35,0.07,,35.48,36.38,40.46,51.16,53.85,50.0,Vietnamese,1078.0
10611,F,35.94,91.34,45.14,55.08,49.0,95.68,48.84,58.99,90.64,46.61,65.0,Hispanic,603.0
10612,M,61.89,97.27,99.53,0.09,95.0,99.49,99.81,86.49,97.45,95.87,71.0,African-American,709.0
10613,M,52.94,71.14,28.1,0.22,,27.5,27.44,10.7,71.74,16.83,45.0,Middle Eastern,709.0
10614,M,53.31,91.68,89.2,0.1,72.0,96.81,84.61,80.19,89.32,88.08,61.0,African-American,709.0
10615,F,26.91,71.59,95.15,0.15,,92.67,62.37,93.7,92.99,81.38,69.0,Caucasian,1078.0
10616,F,55.22,90.87,85.7,2.85,92.0,95.44,81.85,70.8,91.95,79.52,42.0,Hispanic,603.0
10617,F,34.36,79.43,99.71,0.07,,87.31,90.18,93.9,91.1,92.59,50.0,Caucasian,603.0
10618,M,55.22,94.38,98.16,0.05,61.0,98.8,96.02,92.4,94.72,87.84,41.0,African-American,709.0
10619,F,43.13,42.12,93.38,0.1,,47.7,26.64,66.05,50.59,78.74,39.0,Hispanic,1078.0
10620,M,35.94,74.79,90.4,1.1,34.0,80.8,85.05,88.9,61.58,77.89,67.0,Hispanic,603.0
10621,M,61.89,58.12,28.06,0.0,,49.82,33.98,8.33,51.07,12.45,32.0,Vietnamese,1055.0
10622,F,53.31,96.04,99.68,0.02,85.0,99.13,99.67,92.6,96.12,96.4,43.0,Caucasian,709.0
10623,M,46.19,39.53,52.81,,30.0,75.11,58.26,9.18,74.74,12.71,36.0,Asian,1056.0
10624,F,18.9,93.77,97.19,1.17,68.0,99.0,98.91,81.6,95.03,87.58,75.0,Hispanic,603.0
10625,F,55.22,38.31,34.64,0.1,,73.84,55.45,10.9,77.79,39.09,37.0,Caucasian,709.0
10626,F,52.94,94.31,76.47,60.78,77.0,97.88,94.27,73.44,89.4,81.79,86.0,Hispanic,143.0
10627,F,65.6,82.9,99.81,0.04,96.0,96.52,99.34,84.6,86.27,95.97,51.0,Caucasian,149.0
10628,F,29.12,49.11,88.1,29.58,53.0,73.86,91.24,70.3,61.62,86.69,48.0,Hispanic,119.0
10629,M,28.43,80.44,93.42,0.02,30.0,97.79,90.14,88.7,89.22,95.54,81.0,Caucasian,1112.0
10630,F,34.36,57.77,62.29,0.04,,32.66,65.76,42.8,52.82,61.92,37.0,Caucasian,906.0
10631,F,58.47,51.54,91.56,0.03,,40.62,15.25,68.1,69.25,84.21,37.0,Caucasian,522.0
10632,M,61.89,94.9,95.19,0.1,,79.07,95.36,91.5,90.34,83.9,36.0,Caucasian,143.0
10633,F,51.94,88.91,85.53,13.5,43.0,95.89,65.78,88.4,88.81,80.87,66.0,Caucasian,803.0
10634,M,61.89,83.96,99.78,0.03,66.0,97.12,98.42,86.67,89.66,97.17,72.0,African-American,803.0
10635,F,51.94,82.45,85.47,1.08,60.0,92.43,74.03,71.82,76.11,79.83,55.0,Hispanic,1056.0
10636,M,52.94,82.24,85.86,0.01,38.0,70.6,94.21,74.52,84.74,79.67,41.0,Hispanic,143.0
10637,F,62.65,97.08,97.16,0.48,37.0,98.99,98.67,93.3,95.2,95.12,88.0,Caucasian,772.0
10638,M,70.26,92.79,97.48,0.02,,98.0,97.97,91.4,93.52,88.49,35.0,Caucasian,772.0
10639,M,61.89,46.77,20.18,0.03,,58.71,60.71,8.92,52.52,11.82,35.0,Chinese,772.0
10640,F,46.19,75.73,87.61,0.33,98.0,86.75,91.74,80.0,75.05,86.08,34.0,Caucasian,1112.0
10641,F,55.22,76.67,99.57,0.03,,89.96,99.37,95.1,91.49,93.04,81.0,Caucasian,803.0
10642,F,62.65,91.24,95.98,1.06,88.0,96.35,95.94,93.8,88.79,87.13,49.0,Caucasian,619.0
10643,F,51.94,89.88,98.77,0.02,,96.36,97.07,91.7,90.94,88.87,37.0,,509.0
10644,F,28.43,87.94,10.16,0.03,67.0,76.69,76.98,19.9,75.61,9.59,39.0,Caucasian,893.0
10645,F,49.72,89.02,98.6,0.18,56.0,95.82,95.2,94.6,89.81,86.52,57.0,Caucasian,331.0
10646,F,39.65,80.4,95.33,13.47,40.0,75.65,46.15,63.92,79.79,81.0,43.0,Hispanic,1055.0
10647,F,28.43,82.64,98.55,0.07,,96.21,97.65,85.59,90.08,86.7,61.0,Caucasian,901.0
10648,F,55.22,96.13,99.82,0.05,3.0,99.19,99.08,96.3,96.17,98.21,71.0,African-American,149.0
10649,F,58.47,97.86,99.08,0.01,57.0,99.63,99.86,91.4,98.2,90.76,36.0,Caucasian,1054.0
10650,M,70.26,93.46,90.93,0.06,93.0,83.4,86.19,85.1,85.32,89.06,67.0,Caucasian,362.0
10651,M,34.36,30.61,76.79,55.08,,53.15,6.1,73.1,68.22,84.76,62.0,Hispanic,362.0
10652,M,35.94,92.14,98.64,0.04,72.0,95.91,94.67,82.89,90.26,85.47,39.0,Caucasian,901.0
10653,F,52.94,95.79,98.73,0.26,89.0,99.04,97.05,85.77,95.71,90.09,62.0,Caucasian,901.0
10654,M,35.94,50.34,91.17,0.08,,60.17,49.84,70.3,51.11,85.99,42.0,Caucasian,901.0
10655,F,56.65,92.43,97.6,0.07,31.0,95.72,95.1,87.5,90.53,88.7,56.0,African-American,149.0
10656,F,51.94,91.73,99.1,0.01,96.0,98.79,93.29,93.7,96.48,90.23,49.0,Chinese,1054.0
10657,F,55.22,26.15,90.11,0.11,93.0,79.51,55.22,83.8,69.37,86.99,64.0,Caucasian,362.0
10658,M,49.72,68.61,21.76,0.1,40.0,45.24,45.29,47.85,74.51,50.69,58.0,Asian,906.0
10659,M,59.11,93.95,97.4,0.09,27.0,96.48,97.11,92.4,95.17,88.79,42.0,,862.0
10660,M,59.11,51.65,23.57,0.02,,37.03,30.56,9.44,52.05,11.76,56.0,Vietnamese,899.0
10661,F,55.22,80.43,87.0,0.03,96.0,92.52,85.53,78.3,76.86,75.85,39.0,Caucasian,331.0
10662,F,70.26,90.47,19.25,0.3,86.0,69.53,65.93,52.53,84.2,44.32,54.0,Middle Eastern,899.0
10663,M,28.43,65.16,3.93,0.04,,51.0,56.6,12.1,65.61,2.94,59.0,Caucasian,547.0
10664,F,46.19,88.92,80.04,0.04,,93.52,96.65,80.6,89.05,72.39,35.0,Caucasian,901.0
10665,F,52.94,88.58,86.01,41.14,,62.24,50.44,68.68,85.92,76.94,56.0,Hispanic,862.0
10666,M,65.48,97.72,98.41,0.05,2.0,99.38,98.98,84.78,96.89,96.25,85.0,African-American,862.0
10667,F,61.89,94.99,72.74,0.31,95.0,98.28,61.02,15.4,94.28,29.03,55.0,Caucasian,862.0
10668,M,20.37,83.76,64.83,21.25,38.0,92.01,45.64,44.03,86.79,64.57,51.0,Hispanic,901.0
10669,M,31.09,86.08,27.45,0.1,83.0,69.72,68.12,12.78,79.5,15.26,38.0,African-American,901.0
10670,M,51.94,81.15,90.76,0.01,97.0,79.06,49.71,69.02,62.15,85.85,58.0,Asian,751.0
10671,F,49.72,94.97,98.41,0.07,99.0,97.13,99.0,94.2,95.21,92.01,53.0,African-American,751.0
10672,M,35.94,75.1,86.15,6.58,28.0,96.74,62.09,67.75,86.71,69.63,41.0,Hispanic,1078.0
10673,M,49.72,91.01,60.41,0.61,56.0,92.28,84.28,47.5,91.08,40.9,62.0,African-American,751.0
10674,M,65.6,82.46,46.91,0.02,96.0,44.6,71.38,58.3,70.15,61.37,61.0,Caucasian,862.0
10675,F,49.72,49.19,75.38,0.6,,65.05,6.05,67.6,87.19,70.65,37.0,Caucasian,803.0
10676,F,51.94,80.51,32.68,0.15,,62.58,31.97,9.8,79.29,11.39,33.0,Caucasian,862.0
10677,F,49.72,94.96,71.13,0.03,56.0,98.27,90.6,46.75,93.66,65.66,33.0,African-American,901.0
10678,M,28.43,81.31,90.64,45.76,53.0,69.7,70.39,33.91,90.23,26.7,53.0,Hispanic,624.0
10679,M,25.9,90.52,85.72,39.16,,90.93,76.85,75.73,94.16,72.75,71.0,Hispanic,1102.0
10680,F,62.65,96.84,99.43,0.05,99.0,99.52,99.75,96.0,97.65,96.95,74.0,Caucasian,1102.0
10681,M,52.94,48.48,64.62,0.08,81.0,47.04,7.71,74.7,55.47,79.35,53.0,Caucasian,1102.0
10682,M,55.22,95.5,99.06,0.01,85.0,96.94,99.24,85.14,92.39,90.91,56.0,African-American,862.0
10683,M,59.11,92.7,97.18,0.27,40.0,86.71,97.34,96.1,93.11,84.28,74.0,African-American,862.0
10684,F,49.72,51.78,82.76,0.07,95.0,77.2,62.93,59.08,64.5,77.13,34.0,African-American,603.0
10685,F,28.43,63.38,67.27,0.07,,64.46,32.45,38.0,50.2,65.89,46.0,Vietnamese,644.0
10686,F,51.94,96.98,99.53,0.02,,99.44,99.65,91.1,97.25,96.37,35.0,Caucasian,639.0
10687,M,25.77,71.53,98.76,0.11,29.0,64.63,62.42,91.5,69.9,83.89,63.0,Caucasian,803.0
10688,F,55.22,96.26,98.21,12.83,46.0,99.12,99.81,79.81,95.66,87.64,51.0,Hispanic,772.0
10689,F,39.65,46.53,85.51,9.61,51.0,60.67,35.59,22.95,63.95,41.12,40.0,Hispanic,149.0
10690,M,35.94,81.64,64.6,0.0,7.0,77.75,76.41,48.79,70.38,63.24,48.0,Caucasian,149.0
10691,F,35.94,85.03,75.77,2.45,41.0,52.3,44.17,74.5,77.56,69.21,43.0,Hispanic,1078.0
10692,F,49.72,85.01,23.26,3.59,57.0,87.29,80.35,54.66,65.59,50.93,47.0,Hispanic,603.0
10693,F,28.43,54.84,25.22,0.88,,47.24,31.1,8.92,52.99,9.07,35.0,Hispanic,639.0
10694,M,43.13,90.13,92.86,17.98,,95.81,82.45,73.19,91.91,88.16,51.0,Hispanic,1078.0
10695,F,17.93,91.27,79.49,2.15,94.0,96.35,94.59,77.35,91.29,79.46,71.0,African-American,644.0
10696,M,70.26,86.65,98.4,0.08,,95.76,96.43,95.0,85.92,87.95,60.0,Caucasian,709.0
10697,M,33.7,42.86,63.92,0.06,26.0,44.91,36.82,42.5,57.11,56.96,41.0,Caucasian,709.0
10698,M,62.65,71.12,95.65,1.0,,85.95,92.11,77.44,77.01,92.6,34.0,Hispanic,149.0
10699,M,59.11,93.92,92.27,0.2,91.0,94.5,90.21,84.3,88.65,86.6,45.0,Caucasian,149.0
10700,F,33.7,79.95,84.58,7.95,43.0,72.77,45.77,9.69,76.38,25.77,44.0,Hispanic,603.0
10701,F,51.94,84.93,98.73,6.31,,90.69,93.6,76.75,87.47,85.63,32.0,Hispanic,149.0
10702,F,62.65,85.49,98.5,1.65,89.0,97.21,99.1,85.41,89.11,87.75,82.0,Caucasian,709.0
10703,M,58.47,66.31,89.6,0.04,92.0,78.63,88.03,70.8,61.76,88.89,41.0,Asian,143.0
10704,F,70.26,86.68,85.63,0.1,100.0,79.45,74.07,88.4,82.34,93.4,65.0,Caucasian,619.0
10705,F,43.13,97.8,99.74,0.03,33.0,99.32,99.8,83.52,96.82,97.14,44.0,African-American,149.0
10706,F,53.31,42.63,84.48,0.04,,19.5,14.57,54.3,56.64,66.76,40.0,Caucasian,119.0
10707,M,25.77,89.4,9.88,0.04,31.0,96.69,66.55,29.5,84.77,23.36,45.0,African-American,1056.0
10708,M,63.5,95.36,99.67,0.01,44.0,98.86,99.86,84.69,94.34,96.91,53.0,African-American,906.0
10709,M,43.13,94.69,98.45,0.01,21.0,98.43,98.91,84.06,94.54,92.32,48.0,Caucasian,1056.0
10710,F,65.48,97.79,99.52,0.06,99.0,99.71,99.82,96.1,98.54,97.91,70.0,Caucasian,119.0
10711,F,70.26,94.4,98.19,0.13,60.0,98.56,98.55,95.1,93.79,92.49,60.0,,906.0
10712,F,35.04,88.66,99.05,0.05,,70.44,96.07,94.2,86.81,90.11,53.0,Caucasian,143.0
10713,F,51.94,70.03,63.25,0.02,94.0,62.61,53.67,57.4,72.52,60.47,48.0,Caucasian,149.0
10714,F,57.0,94.55,99.17,0.06,90.0,98.42,78.24,95.6,96.12,91.16,64.0,Caucasian,906.0
10715,F,61.89,90.9,98.23,0.05,74.0,98.15,94.45,95.1,95.17,90.95,61.0,African-American,143.0
10716,M,20.37,75.53,18.45,0.03,34.0,76.25,67.75,12.78,70.39,11.23,38.0,,862.0
10717,F,58.47,62.93,88.74,0.03,96.0,85.08,61.29,69.61,77.66,84.72,48.0,Caucasian,906.0
10718,M,69.8,76.66,95.16,0.02,60.0,93.78,91.3,83.6,90.16,91.45,52.0,,522.0
10719,F,43.46,69.1,69.03,0.05,86.0,32.59,58.87,60.5,55.29,65.36,63.0,Caucasian,119.0
10720,F,39.65,66.91,67.98,0.13,,68.16,77.05,81.0,74.91,77.42,44.0,Caucasian,522.0
10721,F,65.48,90.8,85.97,0.11,94.0,97.84,83.75,84.0,89.23,82.39,44.0,Caucasian,143.0
10722,F,39.65,45.32,31.23,0.87,64.0,81.16,28.15,37.1,86.69,54.65,34.0,Caucasian,1055.0
10723,M,61.89,64.24,89.41,0.02,42.0,77.31,25.91,61.29,63.6,73.55,46.0,Vietnamese,906.0
10724,M,55.22,61.0,98.71,0.0,,77.59,73.24,84.1,66.47,92.96,39.0,Caucasian,331.0
10725,F,35.94,94.05,99.46,56.43,76.0,99.19,89.85,79.05,96.7,85.54,44.0,Hispanic,901.0
10726,F,70.26,26.63,97.66,0.09,,43.66,0.88,87.7,50.6,92.2,67.0,Caucasian,899.0
10727,M,49.72,93.77,88.45,0.16,97.0,98.01,99.14,90.8,94.34,88.83,69.0,Middle Eastern,547.0
10728,M,53.31,44.85,93.97,0.07,,90.27,66.0,79.0,68.84,85.43,53.0,Caucasian,1054.0
10729,F,39.65,63.63,27.29,0.73,,34.31,29.41,10.3,53.86,14.2,37.0,Caucasian,547.0
10730,M,55.22,57.68,33.45,0.0,,40.11,49.54,35.1,53.35,49.16,34.0,Vietnamese,331.0
10731,F,65.48,85.82,27.0,0.1,,86.78,50.06,10.2,77.06,16.28,58.0,Asian,899.0
10732,F,43.46,80.2,81.02,9.34,56.0,92.13,69.01,71.57,83.12,75.1,54.0,Hispanic,862.0
10733,M,20.67,89.01,84.36,0.05,19.0,94.76,92.86,71.55,88.73,73.9,42.0,Caucasian,901.0
10734,F,46.19,94.32,98.85,0.03,100.0,98.88,99.49,92.6,95.67,91.92,43.0,Caucasian,1054.0
10735,F,49.72,78.03,72.9,1.82,,53.72,28.78,48.5,76.12,56.12,51.0,Hispanic,1054.0
10736,M,49.72,87.46,99.56,0.01,93.0,93.8,93.81,91.9,89.66,85.76,39.0,Caucasian,331.0
10737,F,56.65,93.79,91.63,0.03,96.0,97.55,98.72,77.49,91.44,86.2,51.0,Caucasian,331.0
10738,M,39.65,68.64,35.53,0.07,21.0,43.94,52.22,14.4,51.08,17.59,39.0,Caucasian,901.0
10739,F,63.5,60.52,78.8,0.1,35.0,57.47,62.03,62.05,55.61,72.65,40.0,Vietnamese,862.0
10740,F,41.9,58.52,96.08,0.02,14.0,18.93,4.47,87.6,64.36,88.92,94.0,Caucasian,862.0
10741,F,61.89,84.2,98.9,0.21,,98.22,95.97,91.7,91.56,92.84,38.0,Caucasian,803.0
10742,F,57.0,50.87,28.4,0.27,26.0,47.07,58.7,41.49,55.2,77.11,42.0,African-American,862.0
10743,M,65.48,93.19,95.26,0.2,69.0,97.58,77.29,85.1,88.38,89.39,47.0,Middle Eastern,862.0
10744,F,49.92,68.57,26.89,0.02,85.0,51.55,45.7,9.69,52.46,11.67,47.0,Vietnamese,862.0
10745,M,69.8,95.22,97.43,0.03,,99.23,91.39,44.8,96.14,56.95,68.0,Korean,772.0
10746,F,65.48,92.03,84.56,0.14,98.0,89.5,95.88,84.3,86.31,84.14,45.0,Caucasian,862.0
10747,M,70.26,95.9,88.05,0.01,80.0,98.42,91.6,81.2,92.84,79.98,36.0,Caucasian,803.0
10748,F,55.22,91.35,85.33,0.11,,88.83,59.06,70.29,85.98,75.58,49.0,Chinese,1078.0
10749,M,39.65,90.09,88.35,2.15,53.0,90.52,75.02,47.43,89.48,69.52,45.0,Hispanic,1102.0
10750,F,52.94,91.87,81.37,0.06,92.0,97.12,93.14,80.46,90.27,79.98,63.0,Caucasian,1111.0
10751,F,49.72,91.49,57.58,0.2,84.0,98.6,87.95,65.4,93.23,67.48,49.0,Caucasian,639.0
10752,M,55.22,72.14,29.97,0.02,,50.97,41.14,40.0,61.27,82.32,37.0,Caucasian,639.0
10753,F,28.43,49.0,31.57,7.85,,37.69,43.4,38.0,52.86,55.02,40.0,Caucasian,639.0
10754,F,29.12,48.87,12.97,0.03,,37.59,43.1,0.0,55.24,7.24,101.0,Caucasian,751.0
10755,M,20.67,90.96,96.48,0.14,,98.19,97.27,95.9,92.32,83.34,67.0,Caucasian,1102.0
10756,M,46.19,95.62,98.31,0.11,,98.97,93.19,85.86,93.85,89.85,63.0,Arab-Muslim,751.0
10757,M,58.47,84.47,88.45,1.0,78.0,94.27,77.11,74.46,80.17,84.86,64.0,Hispanic,803.0
10758,F,43.13,84.06,65.41,1.44,59.0,97.43,92.89,76.84,92.91,80.67,66.0,Hispanic,862.0
10759,M,55.22,65.68,85.05,0.03,86.0,69.42,91.0,88.8,61.24,77.95,77.0,Caucasian,862.0
10760,F,49.72,85.74,90.54,2.61,89.0,86.41,84.76,65.88,80.77,76.66,37.0,Middle Eastern,603.0
10761,F,33.7,76.17,83.24,0.72,37.0,83.64,87.83,74.8,77.79,79.29,57.0,Caucasian,603.0
10762,M,35.94,73.41,27.68,4.93,,61.16,30.09,8.75,76.87,8.25,38.0,Hispanic,1078.0
10763,M,61.89,83.64,99.1,0.04,89.0,98.48,98.76,94.4,65.69,93.27,55.0,Caucasian,772.0
10764,F,55.22,67.77,67.03,0.95,45.0,54.87,41.36,44.54,58.16,59.06,51.0,Asian,709.0
10765,F,51.94,85.81,16.32,0.58,80.0,90.36,58.66,54.23,82.3,32.56,58.0,Asian,709.0
10766,F,61.89,73.11,91.71,0.03,,89.03,83.38,79.7,70.15,75.26,42.0,Caucasian,923.0
10767,F,62.65,59.07,91.59,0.03,,39.02,58.05,73.5,70.94,89.5,41.0,Caucasian,143.0
10768,M,37.37,40.97,5.82,0.16,34.0,69.97,34.86,10.5,62.59,1.23,33.0,Caucasian,603.0
10769,F,37.41,74.15,99.66,0.11,91.0,98.24,96.04,81.09,82.33,90.06,63.0,Caucasian,1078.0
10770,F,28.43,92.55,84.98,0.68,12.0,97.32,84.05,90.8,87.84,83.12,69.0,African-American,603.0
10771,F,70.26,97.18,99.72,0.05,94.0,98.79,98.66,83.88,94.04,96.79,47.0,Caucasian,709.0
10772,M,56.65,72.49,64.71,0.01,,48.72,67.12,74.1,75.1,67.16,42.0,Caucasian,772.0
10773,F,58.47,76.36,59.92,23.75,94.0,81.32,74.8,70.8,78.04,64.46,41.0,Hispanic,149.0
10774,M,49.72,83.98,33.55,0.02,,45.65,57.85,20.0,92.41,15.53,33.0,Caucasian,143.0
10775,M,52.94,77.34,52.76,0.46,,65.32,60.64,11.73,65.12,20.23,33.0,African-American,709.0
10776,F,55.22,79.0,26.21,0.16,39.0,71.64,64.73,11.73,82.09,13.0,34.0,Asian,709.0
10777,F,34.36,92.45,99.19,41.26,79.0,97.75,85.2,80.83,92.01,88.8,60.0,Hispanic,1078.0
10778,F,25.9,82.25,62.5,3.09,61.0,69.54,54.31,67.75,80.33,67.54,41.0,Hispanic,603.0
10779,F,82.5,88.79,99.78,0.02,,90.36,95.64,92.6,89.47,94.46,42.0,Caucasian,772.0
10780,M,43.13,60.19,80.63,0.05,63.0,29.99,0.14,74.97,51.21,85.18,70.0,Vietnamese,149.0
10781,M,39.65,94.78,99.59,0.12,100.0,98.12,98.84,80.83,93.3,95.42,60.0,Caucasian,893.0
10782,M,55.22,75.4,90.2,0.5,71.0,84.08,60.62,62.05,75.14,75.14,39.0,,149.0
10783,F,23.27,83.12,80.25,0.13,89.0,93.72,88.94,90.4,83.86,78.77,66.0,Caucasian,119.0
10784,M,26.91,60.36,71.51,5.09,35.0,51.95,29.93,36.38,62.56,56.61,37.0,Hispanic,1056.0
10785,F,56.65,87.67,95.62,0.05,45.0,96.7,78.7,72.7,91.2,80.4,51.0,Caucasian,619.0
10786,F,49.72,95.15,98.03,0.0,100.0,98.77,86.08,81.09,94.38,83.44,62.0,Chinese,803.0
10787,F,34.36,88.57,83.22,0.07,44.0,93.26,74.61,86.9,88.97,78.75,61.0,Caucasian,803.0
10788,M,28.43,78.6,99.74,0.01,,87.49,98.45,93.8,83.47,97.41,74.0,Caucasian,1056.0
10789,F,34.36,88.38,87.67,0.07,,91.17,78.0,77.1,89.94,81.5,60.0,Caucasian,923.0
10790,F,39.65,81.64,98.23,0.04,45.0,97.14,98.6,91.9,87.22,84.67,39.0,Caucasian,149.0
10791,F,18.9,94.34,20.33,0.5,64.0,98.91,88.89,62.37,94.84,52.78,56.0,African-American,509.0
10792,M,61.89,83.55,80.2,0.03,,74.28,74.19,67.2,88.86,67.46,40.0,Caucasian,619.0
10793,F,52.94,70.02,37.94,21.06,47.0,69.3,39.83,40.8,73.59,59.82,45.0,Hispanic,143.0
10794,M,57.0,90.49,85.97,0.09,91.0,95.51,82.99,85.7,91.09,87.22,49.0,Caucasian,522.0
10795,M,39.65,82.75,99.33,0.01,87.0,95.49,99.83,94.5,87.26,97.07,84.0,Caucasian,803.0
10796,M,70.58,67.65,31.28,0.03,,94.29,49.7,37.1,75.43,57.03,34.0,Caucasian,772.0
10797,F,33.7,85.18,92.02,0.04,39.0,94.99,82.04,78.11,89.44,88.8,39.0,Vietnamese,923.0
10798,M,28.43,80.89,23.29,1.44,63.0,94.67,84.59,69.9,75.47,72.25,67.0,Caucasian,362.0
10799,F,7.41,61.57,33.96,42.11,10.0,54.69,47.86,12.49,68.56,6.69,79.0,Hispanic,547.0
10800,F,52.94,52.07,99.36,0.09,88.0,86.72,80.49,94.0,57.37,92.05,52.0,Caucasian,149.0
10801,F,28.43,71.73,89.6,11.6,45.0,82.69,59.96,62.48,83.0,76.39,41.0,Hispanic,547.0
10802,F,43.46,94.53,92.04,0.02,86.0,93.86,99.08,92.2,91.66,85.17,41.0,Caucasian,522.0
10803,F,43.46,38.82,84.16,0.06,,51.9,31.24,55.67,51.48,76.67,34.0,Chinese,906.0
10804,M,67.24,35.92,74.61,0.11,58.0,82.72,82.29,88.9,58.6,89.9,75.0,Caucasian,899.0
10805,F,49.92,87.07,92.48,0.28,,89.82,99.71,91.0,70.3,81.31,71.0,Caucasian,547.0
10806,F,57.0,92.27,89.07,0.42,48.0,91.54,75.54,71.23,86.41,79.54,52.0,Middle Eastern,149.0
10807,F,61.89,89.39,95.44,6.74,71.0,70.52,45.64,71.7,81.2,74.32,54.0,Hispanic,906.0
10808,M,73.56,63.97,91.19,0.28,70.0,79.23,27.48,66.9,71.18,81.01,60.0,Chinese,899.0
10809,F,55.22,70.98,49.66,0.05,,51.21,33.66,10.5,70.78,12.62,42.0,Caucasian,331.0
10810,M,35.94,62.61,83.3,0.02,,69.21,33.83,67.66,62.87,78.23,62.0,Asian,331.0
10811,M,49.72,71.72,86.9,0.07,82.0,74.2,61.8,31.6,61.16,44.43,58.0,African-American,149.0
10812,F,31.09,59.07,22.17,51.8,,47.58,41.49,10.29,55.85,10.14,60.0,Hispanic,362.0
